Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2014-15,26,NOP,NBA,C,3,0,10,4,4,1.0,0,0,4,4,1.0,1.0,0,0,0,1,1,1,1,0,0,2,8,0,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,10,4,4,1.0,0,0,4,4,1.0,1.0,0,0,0,1,1,1,1,0,0,2,8,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,273,109,109,1.0,0,0,109,109,1.0,1.0,0,0,0,27,27,27,27,0,0,55,219,0,
