0
2003-04 NBA 622 (7th)
2004-05 NBA 795 (1st)
2005-06 NBA 875 (2nd)
2006-07 NBA 772 (2nd)
2007-08 NBA 794 (1st)
2008-09 NBA 789 (3rd)
2009-10 NBA 768 (2nd)
2010-11 NBA 758 (1st)
2011-12 NBA 621 (2nd)
2012-13 NBA 765 (1st)
2013-14 NBA 767 (2nd)
2014-15 NBA 624 (7th)
2015-16 NBA 737 (2nd)
2016-17 NBA 736 (4th)
2017-18 NBA 857 (1st)
2019-20 NBA 643 (3rd)
2021-22 NBA 640 (10th)
2022-23 NBA 609 (16th)
2023-24 NBA 685 (10th)
2024-25 NBA 651 (8th)
Active 15488 (1st)
Career 15488 (2nd)
Career NBA 15488 (2nd)
Career Playoffs 2971 (1st)
Career NBA Playoffs 2971 (1st)
Career (Reg+Playoffs) 18459 (1st)
Career NBA (Reg+Playoffs) 18459 (1st)
