Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,20.0,CLE,NBA,SF,1,1,31:25,6,13,0.462,1,4,0.25,0,1,0.0,1,8,6,2,0,3,0,13
2005-06,21.0,CLE,NBA,SF,1,1,30:34,12,21,0.571,4,10,0.4,1,5,0.2,2,6,2,2,0,1,2,29
2006-07,22.0,CLE,NBA,SF,1,1,32:16,11,20,0.55,4,8,0.5,2,2,1.0,0,6,6,1,0,4,0,28
2007-08,23.0,CLE,NBA,SF,1,1,30:15,12,22,0.545,2,7,0.286,1,1,1.0,1,8,9,2,2,4,3,27
2008-09,24.0,CLE,NBA,SF,1,1,26:50,8,19,0.421,2,5,0.4,2,2,1.0,0,5,3,0,0,3,0,20
2009-10,25.0,CLE,NBA,SF,1,1,32:28,10,22,0.455,1,6,0.167,4,4,1.0,1,5,6,4,0,2,1,25
2010-11,26.0,MIA,NBA,SF,1,1,32:20,10,18,0.556,0,3,0.0,9,10,0.9,2,12,10,0,0,4,3,29
2011-12,27.0,MIA,NBA,SF,1,1,32:09,15,23,0.652,6,8,0.75,0,0,,0,6,7,0,0,4,2,36
2012-13,28.0,MIA,NBA,PF,1,1,30:02,7,18,0.389,3,7,0.429,2,4,0.5,0,3,5,1,0,4,0,19
2013-14,29.0,MIA,NBA,PF,1,1,33:08,11,22,0.5,0,7,0.0,0,0,,1,7,7,3,0,1,0,22
2014-15,30.0,CLE,NBA,SF,1,1,31:45,11,21,0.524,4,12,0.333,4,5,0.8,1,5,7,2,0,4,1,30
2015-16,31.0,CLE,NBA,SF,1,1,20:13,6,13,0.462,1,5,0.2,0,0,,0,4,7,0,0,4,0,13
2016-17,32.0,CLE,NBA,SF,1,1,19:29,10,17,0.588,3,8,0.375,0,0,,0,3,1,0,0,4,2,23
2017-18,33.0,CLE,NBA,PF,1,1,31:17,12,17,0.706,4,8,0.5,1,1,1.0,0,10,8,1,0,5,2,29
2018-19,34.0,LAL,NBA,SF,1,1,26:32,9,17,0.529,1,8,0.125,0,1,0.0,2,8,4,0,2,1,1,19
2019-20,35.0,LAL,NBA,PG,1,1,18:48,9,20,0.45,2,10,0.2,3,4,0.75,2,5,6,1,2,6,1,23
2020-21,36.0,LAL,NBA,PG,1,1,13:00,2,7,0.286,0,3,0.0,0,0,,0,2,4,0,1,1,0,4
2021-22,37.0,LAL,NBA,C,1,1,36:15,11,24,0.458,2,11,0.182,0,0,,1,6,8,3,1,3,0,24
2022-23,38.0,LAL,NBA,PF,1,1,14:25,6,11,0.545,1,5,0.2,0,0,,0,1,4,0,0,0,1,13
2023-24,39.0,LAL,NBA,PF,1,1,13:48,4,10,0.4,0,3,0.0,0,0,,0,4,3,0,0,1,0,8
Career,,,NBA,,20,20,537,182,355,0.513,41,138,0.297,29,40,0.725,14,114,113,22,8,59,19,434
