0
2003-04 NBA 28.2 (11th)
2004-05 NBA 29.7 (9th)
2005-06 NBA 33.6 (4th)
2006-07 NBA 31.0 (8th)
2007-08 NBA 33.5 (1st)
2008-09 NBA 33.8 (2nd)
2009-10 NBA 33.5 (2nd)
2010-11 NBA 31.5 (6th)
2011-12 NBA 32.0 (3rd)
2012-13 NBA 30.2 (5th)
2013-14 NBA 31.0 (4th)
2014-15 NBA 32.3 (4th)
2015-16 NBA 31.4 (7th)
2016-17 NBA 30.0 (12th)
2017-18 NBA 31.6 (6th)
2018-19 NBA 31.6 (8th)
2019-20 NBA 31.5 (11th)
2020-21 NBA 31.9 (9th)
2021-22 NBA 32.3 (7th)
2022-23 NBA 33.3 (6th)
2024-25 NBA 30.1 (14th)
Active 31.5 (3rd)
Career 31.5 (6th)
Career NBA 31.5 (6th)
Career Playoffs 31.6 (8th)
Career NBA Playoffs 31.6 (8th)
