0
2004-05 NBA 8.6 (2nd)
2005-06 NBA 9.1 (1st)
2006-07 NBA 8.1 (3rd)
2007-08 NBA 10.9 (1st)
2008-09 NBA 13.2 (1st)
2009-10 NBA 11.8 (1st)
2010-11 NBA 8.1 (1st)
2011-12 NBA 10.9 (1st)
2012-13 NBA 11.7 (1st)
2013-14 NBA 8.8 (3rd)
2014-15 NBA 7.1 (6th)
2015-16 NBA 9.0 (4th)
2016-17 NBA 7.6 (6th)
2017-18 NBA 8.7 (2nd)
2018-19 NBA 8.0 (5th)
2019-20 NBA 8.4 (5th)
2020-21 NBA 8.1 (4th)
2021-22 NBA 7.7 (5th)
2022-23 NBA 6.1 (13th)
2023-24 NBA 6.5 (6th)
2024-25 NBA 5.6 (8th)
Active 8.5 (2nd)
Career 8.5 (3rd)
Career NBA 8.5 (3rd)
Career Playoffs 10.0 (3rd)
Career NBA Playoffs 10.0 (3rd)
