0
2004-05 NBA 7.0 (1st)
2005-06 NBA 7.5 (2nd)
2006-07 NBA 5.9 (5th)
2007-08 NBA 8.2 (1st)
2008-09 NBA 9.5 (1st)
2009-10 NBA 9.1 (1st)
2010-11 NBA 6.3 (2nd)
2011-12 NBA 8.2 (1st)
2012-13 NBA 9.3 (1st)
2013-14 NBA 7.8 (3rd)
2014-15 NBA 6.1 (6th)
2015-16 NBA 7.0 (3rd)
2016-17 NBA 6.4 (7th)
2017-18 NBA 7.3 (3rd)
2018-19 NBA 6.4 (5th)
2019-20 NBA 6.6 (6th)
2020-21 NBA 5.9 (10th)
2021-22 NBA 6.9 (5th)
2022-23 NBA 5.5 (12th)
2023-24 NBA 5.5 (8th)
2024-25 NBA 4.9 (7th)
Active 6.9 (2nd)
Career 6.9 (3rd)
Career NBA 6.9 (3rd)
Career Playoffs 7.5 (3rd)
Career NBA Playoffs 7.5 (3rd)
