0
2003-04 Sporting News Rookie of the Year
2003-04 Rookie of the Year (Wilt Chamberlain Trophy)
2006 All-Star Game Most Valuable Player (Kobe Bryant Trophy)
2005-06 Sporting News MVP
2008 All-Star Game Most Valuable Player (Kobe Bryant Trophy)
2008-09 Most Valuable Player (Michael Jordan Trophy)
2008-09 Sporting News MVP
2009-10 Most Valuable Player (Michael Jordan Trophy)
2009-10 Sporting News MVP
2012 Finals Most Valuable Player (Bill Russell Trophy)
2011-12 Most Valuable Player (Michael Jordan Trophy)
2013 Finals Most Valuable Player (Bill Russell Trophy)
2012-13 Most Valuable Player (Michael Jordan Trophy)
2016 Finals Most Valuable Player (Bill Russell Trophy)
2016-17 J. Walter Kennedy Citizenship Award
2018 All-Star Game Most Valuable Player (Kobe Bryant Trophy)
2020 Finals Most Valuable Player (Bill Russell Trophy)
2021-22 NBA 75th Anniversary Team
2023-24 In-Season Tournament Most Valuable Player
