"('Thru 12 Years', 'Player')","('Thru 12 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Deron Williams,,11.3,10.9,10.3,8.4,7.3,7.2,5.4,4.1,3.7,3.6,2.8,2.4
Kyle Lowry,91.5,11.7,11.6,10.2,10.1,7.1,7.0,5.6,4.9,4.3,3.6,3.4,0.5
Dick Van Arsdale,90.8,10.4,10.2,9.0,8.7,7.0,5.9,5.6,5.2,4.0,3.8,2.7,2.6
DeMar DeRozan,90.3,9.9,9.6,9.0,8.8,7.4,7.3,6.3,4.7,4.0,3.2,2.5,2.3
Stephon Marbury,89.3,11.7,9.6,9.1,7.8,7.4,7.1,5.9,5.3,5.3,3.9,3.7,1.1
Tim Hardaway,89.2,12.9,11.7,9.9,9.2,7.5,7.3,6.4,5.4,5.1,4.3,3.3,1.8
Sam Cassell,88.9,12.1,9.6,9.2,8.6,8.5,8.3,4.7,3.9,3.9,3.8,2.2,0.8
Walter Davis,88.5,10.1,9.4,8.3,8.1,7.1,6.2,5.8,4.2,3.8,3.5,2.7,0.6
Mookie Blaylock,88.1,12.5,10.2,9.4,9.0,7.0,5.6,4.9,4.7,3.5,3.3,2.1,-0.3
Derek Harper,88.1,9.9,9.4,9.1,8.0,7.6,6.4,6.2,5.4,4.0,3.5,2.7,1.3
Gus Williams,88.0,11.6,10.2,8.5,8.3,7.7,5.9,5.1,4.2,3.6,2.8,0.1,
