"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Andrew Nembhard,,2.8,2.0,1.2,,
Louie Nelson,89.3,2.9,2.3,1.1,0.0,0.0
Bennedict Mathurin,88.0,3.0,1.8,1.4,,
Tex Ritter,85.5,2.4,2.3,1.0,,
Casey Jacobsen,85.4,2.7,2.6,1.2,-0.3,
Kevin Porter Jr.,85.1,2.9,2.2,0.8,0.3,0.0
Davion Mitchell,84.8,3.0,1.5,1.3,0.1,
Hollis Thompson,84.7,2.6,2.0,1.2,0.7,
Freddie Crawford,84.3,2.7,2.2,1.6,-0.2,-0.3
Tom Garrick,84.2,2.5,1.8,1.4,0.2,
Mike Butler,83.1,3.1,2.3,1.6,0.1,
