"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Patrick Patterson,,6.1,4.1,3.8,3.6,3.3,2.6,2.4,1.9,1.6,1.2,1.1,,
Bingo Smith,94.7,6.1,4.2,4.2,3.7,3.3,2.5,2.4,2.1,2.1,1.6,1.1,,
Robert Covington,93.3,6.1,4.0,3.7,3.7,3.2,3.1,2.5,2.0,1.9,1.5,0.1,,
Tim Thomas,88.1,5.5,4.1,3.9,3.8,3.4,2.9,2.2,2.2,2.2,1.7,1.7,0.9,0.7
George Lynch,87.0,6.5,5.8,3.9,3.5,2.6,2.5,2.5,1.7,1.5,0.9,0.7,0.0,
Cliff Robinson,87.0,5.6,4.4,3.6,3.5,3.1,2.9,2.6,2.5,2.1,0.3,0.1,,
Andrew Wiggins,86.9,5.1,4.2,4.1,4.0,3.9,2.8,2.3,2.1,2.1,1.9,0.6,,
Danny Ferry,86.7,5.6,5.5,4.1,3.9,3.6,2.7,2.3,1.7,1.7,1.3,1.0,1.0,0.3
Clyde Lee,86.3,6.1,5.1,3.5,3.4,3.2,3.1,2.6,2.2,2.2,2.1,,,
Austin Croshere,86.2,5.4,4.1,4.1,3.4,3.2,2.6,2.0,1.3,1.1,0.3,0.1,0.0,
John Johnson,86.1,6.2,4.9,4.6,4.3,4.0,2.7,2.5,2.3,2.1,2.1,1.2,0.2,
