Season,Team,Lg,Salary
2020-21,Los Angeles Clippers,NBA,< $Minimum
2021-22,Los Angeles Clippers,NBA,< $Minimum
2022-23,Orlando Magic,NBA,(TW)
2023-24,Boston Celtics,NBA,(TW)
Career,(may be incomplete),,$0
