"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2006-07,25,UTA,NBA,PF,17.0,17.0,654.0,0.536,7.4,1.0,0.434,0.166,0.202,0.199,0.0,0.536,0.679,0.5,0.377,0.417,,0.667,0.06,18.0,,,0.0,0.0,
2007-08,26,UTA,NBA,PF,12.0,12.0,441.0,0.415,7.3,1.0,0.426,0.191,0.18,0.202,0.0,0.415,0.577,0.229,0.455,0.216,,0.579,0.033,2.0,,,0.0,0.0,
2008-09,27,UTA,NBA,PF,5.0,5.0,186.0,0.528,8.2,1.0,0.375,0.167,0.194,0.264,0.0,0.528,0.556,0.583,0.643,0.368,,0.632,0.042,3.0,,,0.0,0.0,
2009-10,28,UTA,NBA,PF,10.0,10.0,402.0,0.53,8.0,1.0,0.44,0.107,0.185,0.268,0.0,0.53,0.635,0.389,0.581,0.378,,0.64,0.06,8.0,,,0.0,0.0,
2010-11,29,CHI,NBA,C,16.0,16.0,507.0,0.433,7.7,0.994,0.421,0.213,0.185,0.174,0.006,0.435,0.453,0.342,0.394,0.548,0.0,0.714,0.067,10.0,1.0,0.0,0.0,0.0,
2011-12,30,CHI,NBA,PF,6.0,6.0,200.0,0.422,11.0,1.0,0.222,0.156,0.367,0.256,0.0,0.422,0.6,0.286,0.455,0.304,,0.684,0.0,0.0,,,0.0,0.0,
2012-13,31,CHI,NBA,PF,12.0,12.0,431.0,0.494,9.5,0.994,0.345,0.137,0.304,0.208,0.006,0.497,0.672,0.261,0.373,0.543,0.0,0.663,0.024,4.0,1.0,0.0,0.0,0.0,
2013-14,32,CHI,NBA,PF,5.0,5.0,121.0,0.426,10.8,1.0,0.319,0.085,0.213,0.383,0.0,0.426,0.467,0.25,0.4,0.444,,0.7,0.043,2.0,,,0.0,0.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,83.0,83.0,2942.0,0.483,8.7,0.998,0.396,0.161,0.22,0.222,0.002,0.483,0.603,0.366,0.436,0.403,0.0,0.657,0.046,47.0,1.0,0.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,82.0,2907.0,0.483,8.7,0.998,0.396,0.161,0.22,0.222,0.002,0.483,0.603,0.366,0.436,0.403,0.0,0.657,0.046,46.0,1.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTA (4 Yrs),UTA (4 Yrs),UTA (4 Yrs),UTA (4 Yrs),,44.0,44.0,1683.0,0.503,7.7,1.0,0.428,0.159,0.192,0.222,0.0,0.503,0.632,0.409,0.468,0.354,,0.638,0.051,31.0,,,0.0,0.0,
CHI (4 Yrs),CHI (4 Yrs),CHI (4 Yrs),CHI (4 Yrs),,39.0,39.0,1259.0,0.451,9.7,0.996,0.348,0.164,0.263,0.222,0.004,0.453,0.548,0.304,0.402,0.477,0.0,0.688,0.037,16.0,1.0,0.0,0.0,0.0,
