0
2008-09 NBA 435 (19th)
2009-10 NBA 652 (5th)
2010-11 NBA 670 (4th)
2011-12 NBA 362 (14th)
2012-13 NBA 607 (4th)
2014-15 NBA 574 (5th)
2015-16 NBA 834 (2nd)
2016-17 NBA 840 (2nd)
2017-18 NBA 820 (1st)
2018-19 NBA 784 (1st)
2019-20 NBA 401 (17th)
2020-21 NBA 763 (1st)
2021-22 NBA 550 (10th)
2022-23 NBA 551 (6th)
2024-25 NBA 457 (13th)
2025-26 NBA 96 (13th)
Active 10021 (3rd)
Career 10021 (8th)
Career NBA 10021 (8th)
Career Playoffs 955 (18th)
Career NBA Playoffs 955 (18th)
Career (Reg+Playoffs) 10976 (8th)
Career NBA (Reg+Playoffs) 10976 (8th)
