Season,Team,Lg,Salary
2008-09,Oklahoma City Thunder,NBA,"$3,493,680"
2009-10,Oklahoma City Thunder,NBA,"$3,755,640"
2010-11,Oklahoma City Thunder,NBA,"$4,017,720"
2011-12,Oklahoma City Thunder,NBA,"$5,082,416"
2012-13,Oklahoma City Thunder,NBA,"$13,668,750"
2013-14,Oklahoma City Thunder,NBA,"$14,693,906"
2014-15,Oklahoma City Thunder,NBA,"$15,719,062"
2015-16,Oklahoma City Thunder,NBA,"$16,744,218"
2016-17,Oklahoma City Thunder,NBA,"$26,540,100"
2017-18,Oklahoma City Thunder,NBA,"$28,530,608"
2018-19,Oklahoma City Thunder,NBA,"$35,654,150"
2019-20,Houston Rockets,NBA,"$38,506,482"
2020-21,Washington Wizards,NBA,"$41,358,814"
2021-22,Los Angeles Lakers,NBA,"$44,211,146"
2022-23,Utah Jazz,NBA,"$46,295,265"
2022-23,Los Angeles Clippers,NBA,"$495,955"
2023-24,Los Angeles Clippers,NBA,"$3,835,738"
2024-25,Denver Nuggets,NBA,"$3,303,771"
2024-25,Utah Jazz,NBA,"$2,327,525"
Career,(may be incomplete),,"$348,234,946"
