"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Tremont Waters,,0.4,0.0,-0.3
Rich Rinaldi,23.1,0.4,0.0,-0.2
Jared Harper,20.5,0.4,0.0,-0.1
Darrun Hilliard,16.6,0.5,0.0,-0.2
Stanley Umude,-9.4,0.5,0.0,-0.2
Lester Qui̱ones,-10.9,0.6,0.0,-0.1
Billy Thomas,-11.4,0.4,0.2,-0.1
Joe Young,-13.9,0.5,-0.1,-0.1
Michael Wilson,-15.9,0.4,-0.1,-0.1
Tyler Ulis,-18.0,0.7,0.0,-0.2
Elijah Millsap,-18.1,0.4,0.1,-0.1
