"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Tremont Waters,,0.4,0.0,-0.3
Cliff Anderson,27.5,0.4,0.0,-0.2
Rich Rinaldi,23.1,0.4,0.0,-0.2
Jared Harper,20.5,0.4,0.0,-0.1
Darrun Hilliard,16.6,0.5,0.0,-0.2
Sean Higgins,15.6,0.4,0.0,-0.1
Andre Barrett,12.0,0.4,0.0,-0.1
Troy Hudson,2.9,0.5,0.0,-0.2
Stephen Graham,-3.2,0.4,0.0,-0.1
Jaren Jackson,-5.3,0.4,0.1,-0.1
Stanley Umude,-9.4,0.5,0.0,-0.2
