"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Paul Reed,,5.1,2.8,1.6,1.3,0.6,,,,
KJ Martin,88.5,4.9,2.9,2.2,1.3,1.1,,,,
Larry Stewart,83.1,4.7,2.9,1.6,0.5,0.1,,,,
Xavier Tillman Sr.,81.2,4.2,2.9,1.8,1.4,-0.3,,,,
Anthony Bonner,80.8,4.1,2.4,1.8,1.6,0.7,0.0,,,
Jae'Sean Tate,80.4,3.8,3.0,1.8,1.6,0.7,,,,
Landry Fields,79.9,5.3,3.4,1.1,0.4,0.3,,,,
Bob Doll,79.3,4.0,2.8,1.8,1.6,,,,,
Kyle Singler,79.1,4.4,2.3,2.0,1.1,0.3,0.0,,,
De'Andre Hunter,78.9,4.4,2.5,2.2,1.7,1.1,0.1,,,
Brian Cook,78.8,4.5,2.0,1.8,1.1,0.6,0.4,0.0,-0.1,-0.2
