"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Reggie Bullock,,4.6,4.2,3.2,3.1,2.8,1.2,1.0,0.6,0.5,0.2,0.1
Jerry Sichting,87.6,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2,
Carlos Arroyo,87.1,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3,,
Carlos Delfino,86.3,4.8,4.0,3.5,3.5,2.9,2.4,1.0,0.5,,,
Shaun Livingston,86.0,4.6,4.4,3.3,2.6,2.4,1.9,1.3,1.3,1.2,0.4,0.1
Maurice Evans,85.9,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,,
Henry Bibby,85.3,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1.0,1.0,,
Jodie Meeks,85.3,5.1,4.5,4.1,3.1,3.0,2.0,1.1,0.9,0.3,0.1,
Howard Eisley,85.1,4.5,4.4,3.0,2.9,1.7,1.3,1.2,1.0,0.0,-0.3,-0.5
Malik Beasley,84.9,4.7,4.5,3.5,2.9,1.4,1.3,1.2,0.3,0.2,,
Calbert Cheaney,84.9,4.1,3.9,3.2,3.2,2.8,2.3,1.2,1.2,0.8,0.4,-0.1
