"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Yao Ming,,11.4,10.7,10.6,8.7,8.6,8.3,7.4,0.3
Dikembe Mutombo,91.7,11.3,10.8,9.4,8.8,8.7,7.9,7.6,4.8
Mel Daniels,91.2,11.4,10.3,9.2,9.2,8.6,8.6,5.4,2.2
Jarrett Allen,90.3,11.6,10.7,9.5,8.5,8.2,7.6,6.4,4.2
Bill Laimbeer,88.6,10.8,10.5,9.8,9.2,8.8,8.5,5.4,4.7
Wes Unseld,88.6,11.1,10.8,10.7,10.6,10.0,9.5,8.3,3.6
Jack Sikma,88.4,12.6,9.8,9.7,8.8,8.6,8.3,8.0,5.4
Dave Cowens,88.1,12.0,10.8,10.7,10.4,9.5,9.3,6.4,4.4
Alonzo Mourning,85.9,12.9,9.9,9.4,8.4,8.2,7.9,7.5,6.3
Joel Embiid,85.1,12.3,12.0,8.8,8.7,7.5,6.2,6.0,1.9
Marc Gasol,84.6,11.5,10.2,8.4,8.2,7.9,6.4,5.6,3.7
