"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Mario Chalmers,,5.2,5.2,4.8,4.3,3.8,2.9,2.8,2.7,0.6,,,
Tyus Jones,92.6,5.7,5.1,4.5,4.4,3.6,3.0,3.0,2.8,1.5,0.3,,
Allen Leavell,92.3,5.1,4.8,4.3,4.0,3.8,3.0,2.4,1.9,0.6,-0.1,,
Norman Powell,91.8,5.3,4.7,4.6,4.1,3.5,2.8,2.8,2.4,1.6,0.6,,
Sherman Douglas,91.4,5.4,4.6,4.4,4.2,4.0,3.3,2.7,2.6,1.0,0.6,0.2,-0.1
Malcolm Brogdon,88.8,6.5,5.8,4.2,4.1,4.0,2.7,2.7,2.6,0.7,,,
Walt Hazzard,88.6,5.4,5.3,5.0,4.5,3.3,2.5,2.2,1.1,0.6,0.2,,
Marcus Smart,88.2,5.6,5.3,4.5,3.7,3.3,3.2,2.9,2.9,1.9,0.7,0.2,
Austin Carr,88.0,5.9,5.4,5.3,5.0,3.4,2.9,2.6,2.0,1.0,-0.4,,
Jim Barnett,87.6,6.1,5.4,4.8,4.7,4.1,3.7,2.5,1.5,0.3,0.1,0.0,
Greg Anthony,87.4,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1,
