"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Joffrey Lauvergne,,2.3,1.5,1.3,0.1,,
Charlie Tyra,90.1,2.3,1.5,1.1,0.2,-0.2,
Greg Stiemsma,85.4,2.7,1.7,1.5,0.1,,
Festus Ezeli,84.5,2.7,1.7,1.5,,,
James Wiseman,81.5,2.1,1.4,0.7,0.0,,
Predrag Drobnjak,81.1,2.4,1.6,1.0,0.7,,
George Nostrand,80.1,2.0,2.0,1.3,0.4,,
Bob Christian,77.4,2.4,1.9,0.9,0.5,0.0,
Jeff Withey,74.1,2.3,1.8,1.8,0.8,0.0,
Moses Brown,73.0,2.6,1.2,1.1,0.4,0.2,0.0
Luther Rackley,73.0,1.9,1.8,1.3,0.8,0.1,
