"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Jaylen Brown,,5.9,5.8,5.2,5.0,4.9,4.8,4.5,3.0,1.5
Purvis Short,91.6,6.2,6.0,5.7,5.4,5.2,5.0,3.7,2.6,2.2
John Collins,91.0,6.7,6.0,5.4,5.1,4.9,4.4,4.2,2.5,
Rudy Gay,90.9,6.4,6.1,6.0,5.5,5.0,4.8,4.0,3.3,0.5
John Salley,90.5,6.2,6.1,5.1,4.8,4.8,3.8,3.6,3.5,2.5
Taj Gibson,90.3,7.2,5.7,5.4,5.2,4.8,4.7,4.5,4.0,3.3
Junior Bridgeman,90.0,6.7,6.1,5.5,5.1,4.8,4.0,3.6,2.6,2.1
Larry Smith,90.0,6.1,5.4,5.2,4.7,4.3,4.0,3.7,3.1,0.3
Ed Davis,89.2,6.7,6.3,5.7,5.4,5.0,4.0,3.9,2.6,1.7
Jared Dudley,89.0,5.6,5.3,5.1,4.8,4.6,4.1,2.9,2.7,2.4
Wayman Tisdale,88.8,7.0,5.9,5.7,5.6,5.4,4.5,3.4,3.2,1.8
