"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Goga Bitadze,,5.8,3.7,1.9,1.5,1.3,0.7
Rick Robey,86.6,5.5,3.7,3.1,1.9,1.4,0.9
Mark Blount,84.4,6.5,2.8,1.9,1.7,1.7,0.7
Oliver Miller,84.3,5.3,3.8,3.1,1.8,1.6,0.9
Melvin Turpin,83.7,6.0,3.1,2.1,1.8,0.8,
Fabricio Oberto,83.2,6.1,4.1,1.7,1.1,0.6,0.0
Mark West,82.9,5.5,3.1,1.9,1.1,0.9,-0.1
Dan Gadzuric,82.1,5.2,3.7,2.5,1.2,0.8,0.1
Dale Schlueter,81.6,6.3,4.4,3.0,1.6,1.1,1.1
Felton Spencer,81.3,5.6,4.7,2.4,2.0,2.0,1.1
Bismack Biyombo,81.1,5.9,4.0,3.2,2.9,1.4,0.6
