"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
DeAndre Liggins,,0.6,0.5,0.5,0.0,0.0
Jaden Springer,82.3,0.6,0.5,0.3,0.0,
Yakhouba Diawara,78.1,0.7,0.5,0.5,-0.1,
K.J. McDaniels,76.0,0.6,0.5,0.2,,
Pearl Washington,73.8,0.7,0.7,0.5,,
Jordan McRae,71.9,0.7,0.5,0.4,0.2,
Acie Law,71.8,0.7,0.6,0.4,-0.1,
Dylan Windler,71.1,0.8,0.5,0.3,0.0,
Frank Mason III,70.1,0.5,0.4,0.3,0.0,
Mario West,69.8,0.5,0.4,0.3,0.2,
Shawn Respert,69.7,0.8,0.7,0.5,0.1,
