Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2002-03,21,ORL,NBA,C,7.0,0.0,40.0,2.7,9.0,0.3,0.0,0.0,2.7,9.0,0.3,0.3,0.0,2.7,0.0,0.9,1.8,2.7,0.9,0.0,2.7,0.9,9.0,5.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-05,23,PHO,NBA,C,15.0,0.0,213.0,4.1,7.3,0.558,0.0,0.0,4.1,7.3,0.558,0.558,2.0,3.4,0.6,2.9,3.5,6.4,0.5,0.2,3.0,1.4,4.2,10.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08,26,DEN,NBA,C,2.0,0.0,5.0,0.0,7.2,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,,0.0,14.4,14.4,0.0,0.0,0.0,0.0,0.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,24.0,0.0,258.0,3.8,7.5,0.5,0.0,0.0,3.8,7.5,0.5,0.5,1.7,3.2,0.522,2.5,3.5,6.0,0.6,0.1,2.9,1.3,4.9,9.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,15.0,0.0,213.0,4.1,7.3,0.558,0.0,0.0,4.1,7.3,0.558,0.558,2.0,3.4,0.6,2.9,3.5,6.4,0.5,0.2,3.0,1.4,4.2,10.1,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,7.0,0.0,40.0,2.7,9.0,0.3,0.0,0.0,2.7,9.0,0.3,0.3,0.0,2.7,0.0,0.9,1.8,2.7,0.9,0.0,2.7,0.9,9.0,5.4,
DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),,2.0,0.0,5.0,0.0,7.2,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,,0.0,14.4,14.4,0.0,0.0,0.0,0.0,0.0,0.0,
