0
Active 3200 (1st)
Career 3200 (65th)
Career NBA 3200 (56th)
Career Playoffs 437 (52nd)
Career NBA Playoffs 437 (47th)
Career (Reg+Playoffs) 3637 (56th)
Career NBA (Reg+Playoffs) 3637 (49th)
