Highlight,Unnamed: 1,In Stathead
"Career high, Points",56.0,View full stats from top 20 games
"Career high, Rebounds",24.0,View full stats from top 20 games
"Career high, Assists",13.0,View full stats from top 20 games
"Career high, Steals",7.0,View full stats from top 20 games
"Career high, Blocks",7.0,View full stats from top 20 games
"Career high, Game Score",43.7,View full stats from top 20 games
Triple-Doubles,9.0,View all
