Season,Team,Lg,Salary
2013-14,Dallas Mavericks,NBA,"$1,536,960"
2014-15,New York Knicks,NBA,"$1,606,080"
2015-16,Brooklyn Nets,NBA,"$1,500,000"
2017-18,Boston Celtics,NBA,"$1,471,382"
Career,(may be incomplete),,"$6,114,422"
