Season,Team,Lg,Salary
2018-19,Dallas Mavericks,NBA,< $Minimum
2019-20,Los Angeles Lakers,NBA,< $Minimum
2020-21,Los Angeles Lakers,NBA,< $Minimum
2022-23,Chicago Bulls,NBA,(TW)
Career,(may be incomplete),,$0
