Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2024-25,24,MEM,NBA,SG,3,0,38,5.0,8.7,0.571,5.0,8.7,0.571,0.0,0.0,0.857,2.5,2.5,1.0,1.2,7.5,8.7,5.0,2.5,1.2,3.7,3.7,17.5,132,116,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,38,5.0,8.7,0.571,5.0,8.7,0.571,0.0,0.0,0.857,2.5,2.5,1.0,1.2,7.5,8.7,5.0,2.5,1.2,3.7,3.7,17.5,132,116,
