"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Vince Williams Jr.,,2.8,0.4,-0.1
Walter McCarty,91.6,2.9,0.5,0.0
Dick Schulz,87.9,2.9,0.6,0.0
Rowland Garrett,87.7,3.1,0.5,-0.1
Andray Blatche,87.5,3.0,0.5,0.1
Don Lofgran,85.9,2.9,0.1,-0.1
Charles Jones,85.7,2.9,0.6,0.1
Cal Christensen,84.2,3.2,0.4,0.0
Amir Johnson,84.1,3.0,0.5,0.2
Bruce Seals,82.4,2.9,0.6,0.3
Mark Strickland,82.3,2.8,0.0,0.0
