"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Viktor Khryapa,,1.3,0.4,0.3,0.0,
Chris Silva,85.1,1.3,0.3,0.2,0.0,
Tremaine Fowlkes,83.7,1.2,0.5,0.4,0.0,
Joe Holland,81.8,1.2,0.6,0.2,,
Winston Bennett,81.0,1.1,0.3,0.2,,
Cal Bowdler,80.3,1.0,0.5,0.2,,
Ben McDonald,79.6,1.3,0.7,0.3,0.2,
Bob McCann,79.5,1.3,0.6,0.1,0.1,0.0
Pat McFarland,79.2,1.3,0.7,0.4,,
Stephen Howard,76.8,1.3,0.2,0.1,0.0,
Chris Singleton,76.5,1.5,0.5,0.2,,
