"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Skylar Mays,,0.8,0.7,0.4,0.3
Keith McLeod,87.8,0.8,0.6,0.3,0.2
Dalano Banton,85.7,0.8,0.5,0.4,0.4
JaKarr Sampson,85.7,0.8,0.6,0.5,0.1
Shawn Respert,84.9,0.8,0.7,0.5,0.1
Pearl Washington,80.8,0.7,0.7,0.5,
Royal Ivey,78.4,0.7,0.5,0.3,0.2
Eddie House,78.0,0.9,0.7,0.7,0.4
Jordan McRae,77.8,0.7,0.5,0.4,0.2
Malik Monk,74.1,1.0,0.7,0.3,0.0
Jimmer Fredette,73.8,1.1,0.8,0.3,0.2
