Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2020-21,20,BRK,NBA,PF,5,0,22,7,13,0.538,2,5,0.4,5,8,0.625,0.615,0,0,4,2,6,1,1,0,3,4,16,0,
1 Yr,1 Yr,1 Yr,1 Yr,,5,0,22,7,13,0.538,2,5,0.4,5,8,0.625,0.615,0,0,4,2,6,1,1,0,3,4,16,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,361,115,213,0.538,33,82,0.4,82,131,0.625,0.615,0,0,66,33,98,16,16,0,49,66,262,0,
