"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Ziaire Williams,,2.2,2.1,0.2,0.1
Dorell Wright,91.1,2.2,1.9,0.2,-0.1
Jim Palmer,90.3,2.4,1.9,0.2,
Dorie Murrey,87.0,2.2,1.9,0.5,0.2
Alaa Abdelnaby,86.4,2.1,2.0,0.5,-0.1
Joe Holup,85.8,2.1,1.8,0.3,
Keith Erickson,84.7,2.1,1.9,0.2,-0.2
Bob Bedell,83.0,2.4,2.2,0.8,0.1
Julian Champagnie,82.2,2.5,1.8,0.4,
Tony Massenburg,82.1,2.2,1.7,0.4,-0.1
Dave Sorenson,81.7,2.6,2.1,0.7,
