"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Norris Cole,,1.4,1.2,0.6,0.0,-0.1,-0.1
Steve Harris,86.4,1.3,1.2,0.8,0.0,-0.1,
Edmond Sumner,82.4,1.4,1.3,0.4,0.1,0.0,
Chris Smith,80.7,1.2,1.1,0.9,,,
Damyean Dotson,80.6,1.5,0.9,0.6,0.0,0.0,
Corky Devlin,76.8,1.8,1.2,0.8,,,
Richie Frahm,75.8,1.5,1.0,0.5,-0.2,,
Antoine Wright,74.4,1.4,1.2,0.8,0.3,-0.1,-0.5
Caleb Houstan,74.3,1.8,1.5,0.7,,,
Jimmy O'Brien,74.3,1.4,1.4,1.0,0.2,,
Steve Alford,73.8,1.4,0.9,0.6,0.3,,
