"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
R.J. Hampton,,0.7,0.4,-0.1,-0.2
Chandler Hutchison,72.4,0.7,0.6,0.0,-0.1
MarJon Beauchamp,69.5,0.7,0.4,0.1,
Markel Brown,69.2,0.6,0.5,0.0,
Tyler Dorsey,69.1,0.6,0.4,0.1,
Glenn Hansen,66.1,0.8,0.4,-0.1,
Derrick Walton,62.6,0.6,0.4,-0.2,
Raymond Townsend,60.7,0.8,0.4,-0.2,
Chasson Randle,58.7,0.7,0.6,0.0,0.0
Andre McCarter,58.6,0.8,0.3,0.0,
Kira Lewis Jr.,58.1,0.9,0.6,0.0,-0.1
