"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 28_level_0', 'Awards')"
2011-12,22,SAS,NBA,SG,8.0,0.0,31.0,0.444,15.0,0.556,0.333,0.0,0.0,0.222,0.444,0.4,0.667,0.0,0.5,0.5,1.0,0.111,1.0,0.5,0.0,0.0,0.0,
2012-13,23,HOU,NBA,SG,2.0,0.0,18.0,0.2,15.2,0.4,0.4,0.0,0.0,0.0,0.6,0.5,0.5,,0.0,0.0,,0.2,1.0,0.333,0.0,0.0,0.0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,10.0,0.0,49.0,0.357,15.1,0.5,0.357,0.0,0.0,0.143,0.5,0.429,0.6,0.0,0.286,0.333,1.0,0.143,2.0,0.429,0.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,402.0,0.357,15.1,0.5,0.357,0.0,0.0,0.143,0.5,0.429,0.6,0.0,0.286,0.333,1.0,0.143,16.0,0.429,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),,8.0,0.0,31.0,0.444,15.0,0.556,0.333,0.0,0.0,0.222,0.444,0.4,0.667,0.0,0.5,0.5,1.0,0.111,1.0,0.5,0.0,0.0,0.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,2.0,0.0,18.0,0.2,15.2,0.4,0.4,0.0,0.0,0.0,0.6,0.5,0.5,,0.0,0.0,,0.2,1.0,0.333,0.0,0.0,0.0,
