Season,Team,Lg,Salary
2022-23,Oklahoma City Thunder,NBA,"$4,569,840"
2023-24,Oklahoma City Thunder,NBA,"$4,798,440"
2024-25,Oklahoma City Thunder,NBA,"$5,027,040"
Career,(may be incomplete),,"$14,395,320"
