"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Loren Woods,,1.1,0.7,0.5,0.4,0.4,0.1,
Luka Garza,81.3,1.1,0.8,0.7,0.4,,,
Kessler Edwards,76.6,1.2,0.6,0.5,0.4,,,
Ray Tolbert,74.3,1.1,0.8,0.7,0.3,0.0,,
Eddie Lee Wilkins,73.4,0.8,0.8,0.5,0.3,0.3,-0.1,
Bill Hosket,72.8,1.0,1.0,0.6,0.5,,,
Josh Powell,72.5,1.1,0.7,0.6,0.3,0.0,0.0,-0.2
Maceo Baston,72.0,1.1,0.5,0.4,0.3,,,
Jarell Martin,71.9,1.3,0.8,0.6,0.5,,,
Cartier Martin,71.3,1.3,0.8,0.7,0.7,0.4,0.1,-0.2
Yi Jianlian,70.7,1.3,0.7,0.7,0.4,0.0,,
