"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Devin Booker,,9.2,7.6,7.5,6.4,6.0,4.9,3.5,2.4,2.0,1.9
Klay Thompson,92.7,8.8,8.0,7.1,6.7,5.3,4.9,4.3,3.1,1.8,1.7
Randy Smith,92.5,9.4,7.9,7.2,6.4,5.8,5.7,4.2,3.3,3.0,2.2
Joe Johnson,91.6,8.4,7.6,7.6,7.0,6.0,5.1,4.2,3.3,3.0,2.8
Tom Gola,91.5,9.9,7.4,7.1,6.8,6.5,4.4,4.4,3.4,1.7,1.7
Vern Fleming,91.2,8.4,7.0,6.9,6.7,5.6,4.4,3.3,2.9,2.0,1.4
Sleepy Floyd,90.9,10.0,7.7,7.5,6.3,4.4,4.4,3.7,3.1,2.2,0.9
Alvin Robertson,90.8,8.6,7.7,7.5,5.8,5.3,4.4,3.6,3.4,3.1,2.8
Brian Taylor,90.0,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1
Reggie Theus,90.0,9.2,6.9,6.5,6.4,6.2,5.3,4.6,3.7,3.2,1.8
JosÃ© CalderÃ³n,89.9,10.2,7.5,7.4,6.3,5.4,5.1,4.2,3.7,0.9,0.9
