"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Joe Young,,0.5,-0.1,-0.1
Lester Qui̱ones,75.8,0.6,0.0,-0.1
Khyri Thomas,72.0,0.5,0.0,0.0
Michael Wilson,69.5,0.4,-0.1,-0.1
Paul McCracken,63.2,0.5,0.0,0.0
John Lucas III,60.0,0.6,0.0,-0.1
Ron Baker,58.6,0.5,-0.1,-0.1
Stephen Graham,57.4,0.4,0.0,-0.1
DeAndre Liggins,54.7,0.6,0.0,0.0
Bryan Warrick,53.7,0.5,0.1,0.0
Jaren Jackson,51.8,0.4,0.1,-0.1
