"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Corey Brewer,,5.2,3.9,3.1,2.3,2.3,1.2,1.2,1.1,1.0,1.0,0.3,0.0,-0.2
James Jones,87.8,4.7,4.0,3.7,2.5,2.2,1.7,1.5,1.2,1.0,0.9,0.7,0.2,0.0
Tony Campbell,86.0,5.3,3.7,2.5,2.5,2.1,1.5,1.4,1.1,0.4,0.4,-0.3,,
Lamond Murray,85.9,4.9,4.1,3.3,2.3,2.1,1.3,1.2,0.9,0.3,-0.3,-0.3,,
Earl Lloyd,85.7,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4,,,,
Pat Cummings,83.4,4.2,4.0,3.3,2.7,2.5,1.8,1.5,1.1,0.6,0.6,0.1,0.1,
Kwame Brown,82.3,4.9,3.6,3.5,2.5,1.9,1.9,0.8,0.6,0.6,0.4,0.1,-0.1,
Anthony Tolliver,82.2,5.3,3.3,3.2,2.8,2.7,2.5,2.3,1.2,1.2,0.9,0.5,0.1,0.0
Donald Royal,81.5,5.1,3.8,3.6,2.3,1.6,1.3,1.0,0.4,,,,,
Shandon Anderson,81.4,4.9,4.2,3.9,2.7,2.1,2.0,1.7,1.2,0.5,0.4,,,
Charlie Villanueva,81.1,4.9,3.9,3.5,3.1,1.7,1.7,1.6,1.4,0.4,0.2,0.1,,
