"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Sonny Weems,,1.3,-0.3,-0.4,-0.5
Ray Corley,-41.8,1.2,0.0,-0.4,
Danny Finn,-45.8,1.7,-0.3,-0.4,
Tony Dumas,-51.4,1.6,0.0,0.0,-0.3
Orlando Johnson,-53.6,1.5,0.1,-0.2,
Davon Reed,-56.6,1.6,0.1,0.1,-0.3
Mychal Mulder,-59.5,1.2,0.1,-0.2,
Bobby Wilson,-60.8,1.6,0.2,0.0,-0.1
Ryan Rollins,-61.7,1.7,0.3,-0.3,
Isaac Bonga,-61.9,1.8,0.1,0.0,-0.1
Johnny Juzang,-63.5,1.6,0.4,-0.2,
