"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('Unnamed: 20_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 25_level_0', 'Awards')"
2024-25,22,NYK,NBA,C,25,1,217,0.677,3.4,1.0,0.645,0.258,0.097,0.0,0.0,0.677,0.75,0.5,0.667,0.952,0.323,10,0,0,
2025-26,23,NYK,NBA,C,12,2,77,0.444,3.2,1.0,0.667,0.333,0.0,0.0,0.0,0.444,0.667,0.0,,0.75,0.111,1,0,0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,37,3,294,0.625,3.3,1.0,0.65,0.275,0.075,0.0,0.0,0.625,0.731,0.364,0.667,0.92,0.275,11,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,7,652,0.625,3.3,1.0,0.65,0.275,0.075,0.0,0.0,0.625,0.731,0.364,0.667,0.92,0.275,24,0,0,
