"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Day'Ron Sharpe,,2.9,2.7,1.6,1.2
Wayne Cooper,97.0,2.9,2.8,1.5,1.2
Salah Mejri,94.1,3.0,2.7,1.3,1.1
Gene Wiley,93.1,2.8,2.4,1.8,1.3
Francisco Elson,90.3,3.1,2.9,1.8,1.6
Jock Landale,89.7,2.7,2.3,1.7,1.5
Danny Schayes,88.9,2.8,2.0,1.7,1.2
Victor Alexander,88.4,3.0,2.5,2.3,1.1
Bob Hopkins,87.8,3.5,2.7,1.9,1.4
Sean Rooks,87.8,3.0,2.2,1.8,1.5
Tarik Black,87.7,3.1,2.4,1.5,0.7
