"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
DerMarr Johnson,,3.2,1.7,1.3,0.4,0.1,0.0,-0.3
Mike Farmer,89.9,3.2,1.8,1.3,0.1,0.1,-0.1,-0.1
Darko MiliÄiÄ,84.6,3.3,1.9,1.2,0.7,0.2,-0.2,-0.2
Cheick Diallo,84.0,2.6,1.9,1.3,0.5,0.1,,
Lorenzo Williams,83.1,3.1,1.7,1.1,0.4,0.4,0.3,0.3
Simmie Hill,82.9,3.1,1.6,1.2,1.0,,,
John Trapp,82.0,3.3,1.2,1.2,0.6,0.0,,
Lou Amundson,80.5,2.9,1.8,1.0,0.6,0.1,0.1,0.1
Barney Cable,80.0,3.3,1.6,0.7,0.4,0.3,0.1,
James Hardy,79.6,2.5,1.8,1.3,0.7,,,
Sam Mack,79.4,2.8,1.9,1.3,1.1,0.3,0.0,-0.1
