Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2022-23,21,MIN,NBA,SG,1,0,2,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,
2023-24,22,MIN,NBA,SG,6,0,18,3,7,0.429,1,4,0.25,2,3,0.667,0.5,0,0,0,2,2,2,1,0,1,3,7,0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,7,0,20,3,7,0.429,1,4,0.25,2,3,0.667,0.5,0,0,0,2,2,2,1,0,2,3,7,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,234,35,82,0.429,12,47,0.25,23,35,0.667,0.5,0,0,0,23,23,23,12,0,23,35,82,0,
