"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2022-23,21,MIN,NBA,SG,1,0,2,,,,,,,,,,,,,,,
2023-24,22,MIN,NBA,SG,6,0,18,0.429,0.667,0.25,0.5,0.5,0.0,0.571,90.0,122.0,68.0,91.0,86.0,0.0,145.0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,7,0,20,0.429,0.667,0.25,0.5,0.5,0.0,0.571,90.0,122.0,68.0,91.0,86.0,0.0,145.0,
