"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Unnamed: 19_level_0', 'Shoot')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 23_level_0', 'Awards')"
2000-01,23,HOU,NBA,SF,33.0,0.0,241.0,0.0,8.0,53.0,37.0,2.0,-8.1,-11.4,3.0,3.0,7.0,2.0,7.0,10.0,1.0,12.0,
2001-02,24,HOU,NBA,SF,34.0,8.0,434.0,0.0,0.0,62.0,37.0,1.0,-20.6,-16.9,3.0,1.0,15.0,4.0,4.0,32.0,1.0,4.0,
2002-03,25,PHO,NBA,SF,60.0,0.0,541.0,0.0,0.0,51.0,48.0,0.0,10.0,10.2,7.0,5.0,24.0,0.0,7.0,47.0,0.0,9.0,
2003-04,26,2TM,NBA,SF,6.0,0.0,37.0,0.0,0.0,45.0,54.0,1.0,15.6,15.3,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,
2003-04,26,GSW,NBA,SF,4.0,0.0,17.0,0.0,1.0,33.0,64.0,3.0,13.3,14.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
2003-04,26,MIL,NBA,SF,2.0,0.0,20.0,0.0,0.0,55.0,46.0,0.0,17.6,16.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,133.0,8.0,1253.0,0.0,2.0,55.0,42.0,1.0,-3.9,-3.2,13.0,10.0,49.0,6.0,18.0,89.0,2.0,25.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,5.0,773.0,0.0,2.0,55.0,42.0,1.0,-3.9,-3.2,8.0,6.0,30.0,4.0,11.0,55.0,1.0,15.0,
,,,,,,,,,,,,,,,,,,,,,,,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,67.0,8.0,675.0,0.0,3.0,59.0,37.0,1.0,-16.1,-14.9,6.0,4.0,22.0,6.0,11.0,42.0,2.0,16.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,60.0,0.0,541.0,0.0,0.0,51.0,48.0,0.0,10.0,10.2,7.0,5.0,24.0,0.0,7.0,47.0,0.0,9.0,
GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),,4.0,0.0,17.0,0.0,1.0,33.0,64.0,3.0,13.3,14.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,2.0,0.0,20.0,0.0,0.0,55.0,46.0,0.0,17.6,16.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,
