"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Dan Langhi,,0.4,0.0,-0.1,-0.1
Bob Bigelow,53.2,0.4,0.0,0.0,0.0
Andre Brown,53.1,0.4,0.0,-0.1,
Joe Courtney,45.2,0.4,0.1,0.0,-0.1
Ignas Brazdeikis,43.0,0.5,0.1,-0.1,
Jarrell Brantley,40.7,0.5,0.1,0.0,
Ken Durrett,39.6,0.5,0.1,0.0,0.0
Jarnell Stokes,38.0,0.5,0.1,0.1,
Joby Wright,37.5,0.6,0.0,-0.1,
Greg Brown III,36.9,0.4,0.0,-0.1,
Pops Mensah-Bonsu,36.8,0.3,0.0,0.0,0.0
