"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Nickeil Alexander-Walker,,4.3,4.3,1.1,0.7,0.1,-0.2
Kelenna Azubuike,85.4,4.1,3.4,1.2,0.7,-0.1,
Freeman Williams,84.6,4.1,4.0,1.8,0.4,-0.1,-0.2
Rick Mount,82.8,4.6,3.5,1.1,0.7,0.6,
Quentin Grimes,77.3,4.8,3.4,1.4,1.3,,
Amir Coffey,75.3,4.0,3.8,2.6,0.7,0.4,0.1
Paul Hoffman,75.3,4.7,4.1,2.2,1.1,0.8,-0.5
Al Smith,74.6,4.5,3.3,1.8,0.9,0.6,
Jim Spanarkel,74.1,5.5,5.2,1.0,0.4,0.2,
Ollie Taylor,72.0,3.9,3.8,2.8,0.4,,
Eddie Robinson,71.8,4.0,3.0,2.2,0.8,0.2,
