Season,Team,Lg,Salary
2011-12,Minnesota Timberwolves,NBA,"$500,000"
2012-13,Minnesota Timberwolves,NBA,"$762,195"
2013-14,Phoenix Suns,NBA,"$884,293"
Career,(may be incomplete),,"$2,146,488"
