Season,Team,Lg,Salary
2015-16,Toronto Raptors,NBA,"$650,000"
2016-17,Toronto Raptors,NBA,"$874,636"
2017-18,Toronto Raptors,NBA,"$1,471,382"
2018-19,Toronto Raptors,NBA,"$9,367,200"
2019-20,Toronto Raptors,NBA,"$10,116,576"
2020-21,Portland Trail Blazers,NBA,"$10,865,952"
2021-22,Los Angeles Clippers,NBA,"$15,517,242"
2022-23,Los Angeles Clippers,NBA,"$16,758,621"
2023-24,Los Angeles Clippers,NBA,"$18,000,000"
2024-25,Los Angeles Clippers,NBA,"$19,241,379"
Career,(may be incomplete),,"$102,862,988"
