"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Jonathan Kuminga,,4.6,3.0,2.4,1.9
Tyrus Thomas,93.9,4.6,2.6,2.4,2.2
Aaron James,92.2,4.3,2.9,2.2,2.1
Trevor Booker,92.0,4.3,3.0,2.6,2.3
Danny Vranes,91.8,4.2,3.4,2.4,1.8
Frank Card,91.7,4.2,2.6,2.4,1.9
Phil Hubbard,91.7,4.5,3.4,2.6,1.6
Jaden McDaniels,91.7,4.4,3.4,2.4,1.4
Rodney Rogers,91.3,3.9,2.9,2.3,2.0
Pat Cummings,91.1,4.0,2.7,2.5,1.8
Reggie Johnson,90.9,3.9,3.0,2.4,1.6
