Season,Team,Lg,Salary
2021-22,Golden State Warriors,NBA,"$5,466,360"
2022-23,Golden State Warriors,NBA,"$5,739,840"
2023-24,Golden State Warriors,NBA,"$6,012,840"
2024-25,Golden State Warriors,NBA,"$7,636,307"
Career,(may be incomplete),,"$24,855,347"
