"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Devin Booker,,9.2,7.6,7.5,6.4,6.0,4.9,3.5,2.4,2.0,1.9,,,,
Darrell Armstrong,93.5,8.7,8.0,7.6,6.4,5.3,4.9,3.2,2.5,1.8,0.8,0.3,0.1,0.1,0.0
Tom Gola,91.5,9.9,7.4,7.1,6.8,6.5,4.4,4.4,3.4,1.7,1.7,,,,
Alvin Robertson,90.8,8.6,7.7,7.5,5.8,5.3,4.4,3.6,3.4,3.1,2.8,,,,
Michael Adams,90.6,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1,,,
Brian Taylor,90.0,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1,,,,
Sleepy Floyd,89.6,10.0,7.7,7.5,6.3,4.4,4.4,3.7,3.1,2.2,1.0,0.9,-0.2,-0.4,
Vern Fleming,88.7,8.4,7.0,6.9,6.7,5.6,4.4,3.3,2.9,2.0,1.9,1.6,1.4,,
Jon McGlocklin,87.9,8.9,8.2,7.9,5.8,5.2,3.8,3.4,1.8,1.1,0.9,0.2,,,
Pete Maravich,87.8,7.6,7.6,7.1,6.4,6.2,4.2,3.9,2.9,0.5,0.1,,,,
Kenny Smith,87.7,9.0,8.2,6.1,6.1,5.1,4.1,2.9,2.6,2.2,0.6,,,,
