"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Brendan Haywood,,6.8,6.7,5.2,5.0,3.9,3.8,3.4,3.1,2.9,2.7,0.2,0.1,0.0
Mark Eaton,88.6,6.6,5.5,5.4,5.3,4.1,4.0,3.8,3.7,3.6,1.9,0.8,,
Theo Ratliff,87.2,6.8,5.6,5.4,5.2,5.2,4.0,3.9,3.8,2.3,2.0,0.8,0.1,0.0
Jim Fox,86.9,6.6,6.4,6.1,5.6,4.6,3.9,3.4,2.4,2.2,0.6,,,
Myles Turner,86.9,8.0,6.3,5.8,5.4,4.7,4.7,4.2,3.3,3.1,3.1,,,
Samuel Dalembert,86.8,6.9,6.9,6.2,5.2,4.9,4.1,4.0,3.9,3.6,2.9,2.2,0.3,0.3
Darryl Dawkins,85.6,7.9,6.4,6.3,5.7,4.6,4.4,4.0,2.9,2.1,2.1,0.1,0.1,-0.2
Shawn Bradley,85.4,7.4,6.3,5.1,4.2,3.5,3.0,3.0,2.9,2.3,2.3,1.9,-1.1,
Zaza Pachulia,84.7,6.0,5.0,4.8,4.2,3.9,3.9,3.1,2.9,2.7,2.7,1.7,1.1,0.3
Olden Polynice,84.6,6.7,5.3,5.2,5.1,4.5,3.3,3.2,2.6,2.5,2.0,1.6,1.5,1.5
James Edwards,84.4,7.1,7.0,6.7,5.6,4.5,4.4,4.3,3.7,3.0,2.8,1.5,1.4,1.0
