"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Henry Ellenson,,0.4,0.1,0.1,-0.1,-0.2
David Vaughn,53.5,0.4,0.2,0.1,-0.1,
Pape Sow,36.2,0.6,0.2,0.1,,
Chris McCullough,31.5,0.3,0.2,0.1,,
Kelan Martin,30.9,0.4,0.2,0.0,,
Donny Marshall,28.2,0.6,0.2,0.2,-0.1,-0.1
Jarnell Stokes,27.9,0.5,0.1,0.1,,
Josh Huestis,25.7,0.5,0.2,0.0,,
Gene James,24.3,0.5,0.3,0.1,,
Ken Durrett,24.1,0.5,0.1,0.0,0.0,
KZ Okpala,21.8,0.5,0.3,0.1,0.1,
