"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Hamidou Diallo,,2.1,1.6,1.3,0.8,0.4,0.0,
Joe Hassett,93.5,2.0,1.6,1.4,0.9,0.5,0.0,
Sterling Brown,89.2,2.1,1.8,1.1,0.8,0.7,0.0,
Dave Wohl,86.9,2.1,1.7,1.4,1.0,0.2,0.0,-0.2
Mike Barr,85.5,2.7,1.7,1.4,0.7,0.4,,
Nelson Bobb,83.2,2.0,1.8,1.2,1.1,,,
Todd Lichti,82.4,1.8,1.3,1.2,1.0,0.2,,
Juan Dixon,81.1,2.0,1.7,1.4,1.2,0.4,0.1,-0.5
John Wetzel,80.4,2.0,1.5,1.1,0.7,0.5,0.5,0.4
Talen Horton-Tucker,80.3,2.1,1.1,1.1,0.8,0.8,0.1,
Claude Terry,79.0,2.4,1.8,1.0,1.0,0.8,0.0,
