Season,Team,Lg,Salary
2014-15,Brooklyn Nets,NBA,"$3,278,000"
2015-16,Brooklyn Nets,NBA,"$3,425,510"
2016-17,Washington Wizards,NBA,"$3,730,653"
2017-18,Indiana Pacers,NBA,"$10,500,000"
2018-19,Indiana Pacers,NBA,"$10,500,000"
2019-20,Utah Jazz,NBA,"$17,000,000"
2020-21,Utah Jazz,NBA,"$17,661,000"
2021-22,Utah Jazz,NBA,"$18,502,000"
2022-23,Detroit Pistons,NBA,"$19,550,000"
2023-24,New York Knicks,NBA,"$20,000,000"
2024-25,Brooklyn Nets,NBA,"$19,032,850"
Career,(may be incomplete),,"$143,180,013"
