Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2004-05,26,WAS,NBA,C,8.0,0.0,15.8,2.4,3.6,0.655,0.0,0.0,2.4,3.6,0.655,0.655,1.3,2.8,0.455,1.5,3.0,4.5,0.3,0.0,0.9,1.1,2.9,6.0,
2005-06,27,WAS,NBA,C,3.0,0.0,6.0,0.7,1.7,0.4,0.0,0.0,0.7,1.7,0.4,0.4,0.7,1.3,0.5,0.7,1.3,2.0,0.0,0.7,0.7,0.0,1.0,2.0,
2006-07,28,WAS,NBA,C,4.0,4.0,21.0,1.8,4.3,0.412,0.0,0.0,1.8,4.3,0.412,0.412,1.5,2.3,0.667,0.5,5.0,5.5,0.3,0.5,0.8,1.5,2.3,5.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,31,OKC,NBA,C,2.0,0.0,8.5,2.5,3.0,0.833,0.0,0.0,2.5,3.0,0.833,0.833,1.0,1.0,1.0,0.5,1.5,2.0,0.0,0.0,0.0,0.5,0.5,6.0,
2010-11,32,ATL,NBA,C,1.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,18.0,4.0,14.0,1.8,3.3,0.559,0.0,0.0,1.8,3.3,0.559,0.559,1.1,2.1,0.541,1.0,2.8,3.8,0.2,0.2,0.7,0.9,2.1,4.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS (3 Yrs),WAS (3 Yrs),WAS (3 Yrs),WAS (3 Yrs),,15.0,4.0,15.2,1.9,3.4,0.549,0.0,0.0,1.9,3.4,0.549,0.549,1.2,2.3,0.514,1.1,3.2,4.3,0.2,0.3,0.8,1.0,2.3,4.9,
OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),,2.0,0.0,8.5,2.5,3.0,0.833,0.0,0.0,2.5,3.0,0.833,0.833,1.0,1.0,1.0,0.5,1.5,2.0,0.0,0.0,0.0,0.5,0.5,6.0,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,1.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,
