"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Glenn Robinson III,,2.9,2.5,0.8,0.7,0.6,0.3,0.1,,
Troy Brown Jr.,86.9,2.9,2.4,1.4,0.8,0.6,0.5,,,
Ben McLemore,85.7,3.3,2.5,0.8,0.8,0.5,0.4,0.3,0.2,0.2
Bob Wilkerson,85.2,3.2,2.9,0.9,0.7,0.7,0.2,-0.3,,
Shammond Williams,84.5,3.1,2.9,1.2,1.0,0.5,0.2,0.0,,
Butch Carter,82.1,3.0,2.6,1.3,0.9,0.9,-0.2,,,
Kevin Porter Jr.,79.5,2.9,2.2,0.8,0.3,0.0,,,,
Greg Minor,77.7,3.0,2.1,1.7,0.8,0.6,,,,
Marcus Banks,77.6,2.3,1.9,0.8,0.7,0.5,0.4,0.0,0.0,
Furkan Korkmaz,76.9,2.8,2.0,1.2,1.1,0.4,0.1,0.0,,
Jeff Judkins,76.7,3.0,1.8,0.7,0.6,0.2,,,,
