Highlight,Unnamed: 1,In Stathead
"Career high, Points",8.0,View full stats from top 20 games
"Career high, Rebounds",10.0,View full stats from top 20 games
"Career high, Steals",1.0,View full stats from top 20 games
"Career high, Blocks",3.0,View full stats from top 20 games
"Career high, Game Score",5.4,View full stats from top 20 games
